price,address,bds,ba,sqft,image
"$900,000","11420 142nd St, Jamaica, NY 11436",6,6,"2,150",N/A
"$695,000","3940 Hill Ave, Bronx, NY 10466",8,4,"2,904","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$575,000","670 E 222nd St, Bronx, NY 10467",4,3,"2,300","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$279,000","2539 Hone Ave, Bronx, NY 10469","2,500",N/A,N/A,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$575,000","5455 Sylvan Ave, Riverdale, NY 10471",2,2,"1,240","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,930,000","333 Park Ave S APT 2D, New York, NY 10010",2,2,"1,600","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Est. $547,667","482 Greeley Ave, Staten Island, NY 10306",3,2,"1,164","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$659,000","50 Lexington Ave APT 2F, New York, NY 10010",Studio,1,550,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Est. $733,631","2909 Grace Ave, Bronx, NY 10469",3,2,"2,040","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,475,000","3831 Bedford Ave, Brooklyn, NY 11229",4,4,"3,002","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$5,995,000","82 Amity St, Brooklyn, NY 11201",5,5,"4,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,780,000","20 Hylan Blvd, Staten Island, NY 10305",4,3,"2,733",N/A
"$625,000","1620A Paulding Ave #1, Bronx, NY 10462",2,1,"1,000",N/A
"Est. $1,109,854","169 Stuyvesant Ave, Brooklyn, NY 11221",--,--,"2,400",N/A
"Est. $743,853","3755 Willett Ave, Bronx, NY 10467",5,2,"1,650","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
